Category,Trait,Broad H2,SE broad,Narrow h2,SE narrow,Var Age (%),Var Gender (%),N SNPs,% of phenotypic variance explained,% of heritability explained
General leukocytes,Granulocyte AC,0.536,0.133,0.314,0.079,0,1.3,-,-,-
General leukocytes,Granulocyte %P,0.475,0.117,0.451,0.077,0.8,0.1,-,-,-
General leukocytes,Monocyte  AC,0.606,0.139,0.362,0.079,0.6,8.3,-,-,-
General leukocytes,Monocyte  %P,0.648,0.14,0.405,0.079,2.4,6.1,-,-,
General leukocytes,Lymphocyte  AC,0.496,0.124,0.372,0.079,2.3,0.2,-,-,-
General leukocytes,Lymphocyte  %P,0.429,0.111,0.429,0.077,1.7,0.7,-,-,-
General leukocytes,T lymphocyte AC,0.471,0.121,0.367,0.079,5.3,0.1,-,-,-
General leukocytes,T lymphocyte %P,0.563,0.129,0.462,0.078,4.2,4.2,-,-,-
General leukocytes,T lymphocyte %GP,0.568,0.132,0.408,0.078,4.9,2.6,-,-,-
General leukocytes,CD4+ AC,0.549,0.126,0.5,0.078,3.7,0.9,-,-,-
General leukocytes,CD4+ %P,0.674,0.137,0.49,0.078,1,1.4,-,-,-
General leukocytes,CD4+ %GP,0.515,0.121,0.498,0.077,0.7,6.1,-,-,-
General leukocytes,CD25hi CD4+ AC,0.716,0.136,0.522,0.078,0.8,0,-,-,-
General leukocytes,CD25hi CD4+ %P,0.84,0.123,0.315,0.079,1.1,2.1,2,3.63,11.51
General leukocytes,CD25hi CD4+ %GP,0.863,0.114,0.39,0.079,1.4,0.4,-,-,-
General leukocytes,CD39+ CD4+ AC,0.761,0.12,0.748,0.073,0.8,0,2,54.37,72.65
General leukocytes,CD39+ CD4+ %P,0.963,0.057,0.828,0.071,4.2,0.1,2,57.57,69.55
General leukocytes,CD39+ CD4+ %GP,0.779,0.116,0.779,0.071,4.5,0,2,56.85,72.99
General leukocytes,CD39+ CD25hi CD4+ AC,0.836,0.109,0.721,0.074,0.3,0.1,2,47.97,66.52
General leukocytes,CD39+ CD25hi CD4+ %P,0.949,0.063,0.818,0.071,3.1,0.9,2,52.61,64.35
General leukocytes,CD39+ CD25hi CD4+ %GP,0.928,0.074,0.768,0.073,3.4,0.3,2,51.65,67.29
General leukocytes,CD8br AC,0.585,0.14,0.294,0.079,5.2,0.5,1,2.16,7.34
General leukocytes,CD8br %P,0.746,0.139,0.403,0.079,1,2,-,-,-
General leukocytes,CD8br %GP,0.614,0.115,0.445,0.079,2.9,0.3,1,2.52,5.66
General leukocytes,CD28- CD8br AC,0.539,0.131,0.369,0.079,3.6,0.6,-,-,-
General leukocytes,CD28- CD8br %P,0.468,0.119,0.393,0.078,20.5,0.4,-,-,-
General leukocytes,CD28- CD8br %GP,0.601,0.136,0.397,0.079,9.4,1,-,-,-
General leukocytes,CD28+ CD8br AC,0.631,0.143,0.308,0.08,31.8,0,-,-,-
General leukocytes,CD28+ CD8br %P,0.485,0.122,0.385,0.078,20.4,0.4,-,-,-
General leukocytes,CD28+ CD8br %GP,0.743,0.136,0.478,0.078,30.8,0.2,-,-,-
General leukocytes,CD8dim AC,0.408,0.115,0.192,0.078,4.8,0,-,-,-
General leukocytes,CD8dim %P,0.696,0.146,0.26,0.079,1.6,0,-,-,-
